"DateTime","Futures","Perpetuals"
"2023-12-10 10:20:00",2071092580.69,149763016568.23
"2023-12-10 22:55:00",2071025981.51,165848428236.44
"2023-12-11 11:30:00",2051141468.83,147651631377.01
"2023-12-12 00:05:00",2038686953.13,154610801779.37
"2023-12-12 12:40:00",2055086845.45,179491524309.85
"2023-12-13 01:15:00",2005087003.6,172902116528.36
"2023-12-13 13:50:00",1997822898.44,164766667200.98
"2023-12-14 02:25:00",2018146950.81,151764288504.51
"2023-12-14 15:00:00",2048482818.88,148691924270.16
"2023-12-15 03:35:00",2109348623.04,144721807833.79
"2023-12-15 16:10:00",2020141550.84,146325737552.79
"2023-12-16 04:45:00",2036358737.95,149228518081.96
"2023-12-16 17:20:00",2036444932.35,144425879633.05
"2023-12-17 05:55:00",2036648834.41,139835545220.8
"2023-12-17 18:30:00",2033225689.7,146206154104.94
"2023-12-18 07:05:00",2023017427,144731520596.82
"2023-12-18 19:40:00",2079182107.36,154098822698.44
"2023-12-19 08:15:00",2089639960.72,158791660879.59
"2023-12-19 20:50:00",2079986077.6,152894442210.29
"2023-12-20 09:25:00",2087564045.8,156063540864.66
"2023-12-20 22:00:00",2140390983.48,156624562348.71
"2023-12-21 10:35:00",2166308548.63,155837165048.08
"2023-12-21 23:10:00",2276774257.09,157907783059.78
"2023-12-22 11:45:00",2255487013.75,164228027127.55
"2023-12-23 00:20:00",2282202395.34,162279775746.51
"2023-12-23 12:55:00",2286965875.21,156612757239.69
"2023-12-24 01:30:00",2286251091.9,151680411837.58
"2023-12-24 14:05:00",2282017618.62,159075827004.48
"2023-12-25 02:40:00",2229834070.79,156162629515.41
"2023-12-25 15:15:00",2228902842.27,156429457028.65
"2023-12-26 03:50:00",2222040830.29,160883213076.03
"2023-12-26 16:25:00",2213809510.31,165052435122.03
"2023-12-27 05:00:00",2209031214.05,167637053072.83
"2023-12-27 17:35:00",2374818920.84,166516412253.3
"2023-12-28 06:10:00",2423771270.86,160225129996.77
"2023-12-28 18:45:00",2418285404.61,165513262693.62
"2023-12-29 07:20:00",2452949716.91,158018587666.71
"2023-12-29 19:55:00",1522426156.72,167612958292.73
"2023-12-30 08:30:00",1555353517.64,151960724639.69
"2023-12-30 21:05:00",1582032683.7,151294785100.75
"2023-12-31 09:40:00",1613575973.01,149952486492.32
"2023-12-31 22:15:00",1654266315.66,152222973868.18
"2024-01-01 10:50:00",1658744929.7,149910120296.67
"2024-01-01 23:25:00",1712590680.15,156609938673.74
"2024-01-02 12:00:00",1817048928.12,172663913514.8
"2024-01-03 00:35:00",1920838975.34,184374571315.71
"2024-01-03 13:10:00",1963786809.17,177307197893.82
"2024-01-04 01:45:00",1934173450.69,173940631495.63
"2024-01-04 14:20:00",1994975909.24,173028032766
"2024-01-05 02:55:00",2014327174.78,159440999423.99
"2024-01-05 15:30:00",1961932061.31,173166333184.97
"2024-01-06 04:05:00",1964540883.82,160075540775.12
"2024-01-06 16:40:00",1962051658.69,170202316532.3
"2024-01-07 05:15:00",1965371046.51,169639383671.78
"2024-01-07 17:50:00",1965183687.42,165490956524.32
"2024-01-08 06:25:00",1981547175.83,162054750077.38
"2024-01-08 19:00:00",1959389881.6,174809681983.1
"2024-01-09 07:35:00",2048188186.15,188417775429.2
"2024-01-09 20:10:00",2039474160.41,217214166142.74
"2024-01-10 08:45:00",2052307103.41,202937612382.1
"2024-01-10 21:20:00",2050781613.72,216280064294.4
"2024-01-11 09:55:00",2081391109.51,224886151589.8
"2024-01-11 22:30:00",2156028456.17,269442654396.99
"2024-01-12 11:05:00",2070697728.36,219288338315.47
"2024-01-12 23:40:00",2043957458.19,210975803879.38
"2024-01-13 12:15:00",2020475636.12,217059077750.82
"2024-01-14 00:50:00",2024665715.1,208037899878.13
"2024-01-14 13:25:00",2030326385.05,191852809908.07
"2024-01-15 02:00:00",2017159337.93,187305479229.56
"2024-01-15 14:35:00",2051360234.66,84722938719.89
"2024-01-16 03:10:00",2076596902.45,83888587537.17
"2024-01-16 15:45:00",2111656154.95,85780491877.35
"2024-01-17 04:20:00",2090199070.5,86996218304.62
"2024-01-17 16:55:00",2193259512.1,89671079755.81
"2024-01-18 05:30:00",2107907519.96,87551123190.5
"2024-01-18 18:05:00",2214902962.27,86885199441.12
"2024-01-19 06:40:00",2231580953.11,88429461422.63
"2024-01-19 19:15:00",2151556078.26,86951447625.35
"2024-01-20 07:50:00",2171329118.87,85612976281.9
"2024-01-20 20:25:00",2176801534.6,81698251934.8
"2024-01-21 09:00:00",2173182409.83,80368629529.25
"2024-01-21 21:35:00",2181733043.42,75629008532.81
"2024-01-22 10:10:00",2166545792.83,85407347628.97
"2024-01-22 22:45:00",2056377803.48,87380544063.12
"2024-01-23 11:20:00",2128750764.6,86454810188.31
"2024-01-23 23:55:00",2104178154.94,84714554627.6
"2024-01-24 12:30:00",2121866993.46,84873678636.81
"2024-01-25 01:05:00",2021315503.86,81852250800.06
"2024-01-25 13:40:00",2130094445.45,83597116598.62
"2024-01-26 02:15:00",2132752057.57,79176887745.53
"2024-01-26 14:50:00",1958752473.27,85453575428.4
"2024-01-27 03:25:00",1956876222.84,87055888720.75
"2024-01-27 16:00:00",1960699433.55,84852621846.38
"2024-01-28 04:35:00",1969760506.53,81864083385.8
"2024-01-28 17:10:00",1978322538.22,83307641365.15
"2024-01-29 05:45:00",1982288198.74,84274259633.8
"2024-01-29 18:20:00",1989508632.19,83944575146.61
"2024-01-30 06:55:00",2025227715,86468627940.71
"2024-01-30 19:30:00",2036700557.16,93175225677.49
"2024-01-31 08:05:00",2021919981.99,91692198614.1
"2024-01-31 20:40:00",2034964719.28,91276452887.58
"2024-02-01 09:15:00",2021264942.69,93459237630.25
"2024-02-01 21:50:00",2032714349.69,93041095894.36
"2024-02-02 10:25:00",2061268324.68,92059692036.08
"2024-02-02 23:00:00",2000837604.03,87023005691.81
"2024-02-03 11:35:00",2002224563.49,86267730785.38
"2024-02-04 00:10:00",1998656522.56,83142266465.44
"2024-02-04 12:45:00",2000825549.37,83001047001.11
"2024-02-05 01:20:00",2002731518.68,83356753926.14
"2024-02-05 13:55:00",2022435936.9,91720190532.73
"2024-02-06 02:30:00",2026748575.88,88826303922.14
"2024-02-06 15:05:00",2035780441.31,90568373156.36
"2024-02-07 03:40:00",2058268100.48,92283354804.11
"2024-02-07 16:15:00",2058196156.93,86319652547.31
"2024-02-08 04:50:00",2101726493.6,96280050731.24
"2024-02-08 17:25:00",2130234563.43,100138140317.96
"2024-02-09 06:00:00",2179033632.55,96895856292.26
"2024-02-09 18:35:00",2170283765.45,101999300061
"2024-02-10 07:10:00",2195206368.53,102531130821.39
"2024-02-10 19:45:00",2203067538.25,93966910091.14
