Date,ADA
02/17/2023,0.403943
02/18/2023,0.406331
02/19/2023,0.400107
02/20/2023,0.404003
02/21/2023,0.392417
02/22/2023,0.388921
02/23/2023,0.383023
02/24/2023,0.365819
02/25/2023,0.362364
02/26/2023,0.368973
02/27/2023,0.364899
02/28/2023,0.352454
03/01/2023,0.360356
03/02/2023,0.350206
03/03/2023,0.342737
03/04/2023,0.336499
03/05/2023,0.337102
03/06/2023,0.330821
03/07/2023,0.330483
03/08/2023,0.317577
03/09/2023,0.309678
03/10/2023,0.315342
03/11/2023,0.307327
03/12/2023,0.331539
03/13/2023,0.344585
03/14/2023,0.344308
03/15/2023,0.324637
03/16/2023,0.325383
03/17/2023,0.350524
03/18/2023,0.337711
03/19/2023,0.34601
03/20/2023,0.332595
03/21/2023,0.371236
03/22/2023,0.360613
03/23/2023,0.372045
03/24/2023,0.360083
03/25/2023,0.351996
03/26/2023,0.356245
03/27/2023,0.34551
03/28/2023,0.368354
03/29/2023,0.381589
03/30/2023,0.376459
03/31/2023,0.398923
04/01/2023,0.385388
04/02/2023,0.381753
04/03/2023,0.387139
04/04/2023,0.389683
04/05/2023,0.392364
04/06/2023,0.38321
04/07/2023,0.383643
04/08/2023,0.385635
04/09/2023,0.389693
04/10/2023,0.396989
04/11/2023,0.401456
04/12/2023,0.406563
04/13/2023,0.425759
04/14/2023,0.43833
04/15/2023,0.45328
04/16/2023,0.451755
04/17/2023,0.434167
04/18/2023,0.443752
04/19/2023,0.415793
04/20/2023,0.400731
04/21/2023,0.382939
04/22/2023,0.396153
04/23/2023,0.389
04/24/2023,0.383916
04/25/2023,0.394919
04/26/2023,0.401498
04/27/2023,0.409843
04/28/2023,0.404932
04/29/2023,0.402784
04/30/2023,0.397354
05/01/2023,0.386857
05/02/2023,0.391773
05/03/2023,0.393942
05/04/2023,0.387448
05/05/2023,0.394684
05/06/2023,0.380119
05/07/2023,0.376906
05/08/2023,0.365828
05/09/2023,0.363806
05/10/2023,0.369937
05/11/2023,0.360039
05/12/2023,0.370463
05/13/2023,0.365031
05/14/2023,0.370761
05/15/2023,0.367482
05/16/2023,0.36783
05/17/2023,0.375425
05/18/2023,0.372078
05/19/2023,0.368215
05/20/2023,0.366357
05/21/2023,0.360363
05/22/2023,0.367997
05/23/2023,0.370484
05/24/2023,0.364234
05/25/2023,0.358416
05/26/2023,0.362884
05/27/2023,0.366774
05/28/2023,0.382999
05/29/2023,0.379138
05/30/2023,0.377934
05/31/2023,0.374403
06/01/2023,0.364724
06/02/2023,0.378304
06/03/2023,0.376028
06/04/2023,0.377693
06/05/2023,0.352015
06/06/2023,0.353715
06/07/2023,0.322278
06/08/2023,0.323157
06/09/2023,0.295401
06/10/2023,0.276194
06/11/2023,0.27263
06/12/2023,0.275048
06/13/2023,0.274986
06/14/2023,0.263226
06/15/2023,0.261957
06/16/2023,0.263185
06/17/2023,0.266928
06/18/2023,0.260963
06/19/2023,0.263048
06/20/2023,0.270329
06/21/2023,0.287
06/22/2023,0.290313
06/23/2023,0.296482
06/24/2023,0.290012
06/25/2023,0.292325
06/26/2023,0.280354
06/27/2023,0.28652
06/28/2023,0.267169
06/29/2023,0.275564
06/30/2023,0.286956
07/01/2023,0.29234
07/02/2023,0.292055
07/03/2023,0.296311
07/04/2023,0.292615
07/05/2023,0.284471
07/06/2023,0.2797
07/07/2023,0.284525
07/08/2023,0.290651
07/09/2023,0.284591
07/10/2023,0.287991
07/11/2023,0.292818
07/12/2023,0.288758
07/13/2023,0.357658
07/14/2023,0.328801
07/15/2023,0.326365
07/16/2023,0.314884
07/17/2023,0.312489
07/18/2023,0.307399
07/19/2023,0.323513
07/20/2023,0.316093
07/21/2023,0.313292
07/22/2023,0.309772
07/23/2023,0.317163
07/24/2023,0.305309
07/25/2023,0.304017
07/26/2023,0.306641
