Date,ADA,WMT
11/12/2022,0.339144,0.1463745504
11/13/2022,0.330127,0.1428789656
11/14/2022,0.331849,0.1434583227
11/15/2022,0.337009,0.1448801691
11/16/2022,0.332382,0.1421265432
11/17/2022,0.324859,0.1397218559
11/18/2022,0.326221,0.1393942333
11/19/2022,0.328512,0.1405374336
11/20/2022,0.312307,0.1335424732
11/21/2022,0.304548,0.1307424564
11/22/2022,0.311922,0.1393355574
11/23/2022,0.318317,0.1400913117
11/24/2022,0.316458,0.1407288726
11/25/2022,0.314989,0.140170105
11/26/2022,0.31379,0.139887582
11/27/2022,0.312454,0.1396356926
11/28/2022,0.3067,0.14123535
11/29/2022,0.309372,0.1441054776
11/30/2022,0.318883,0.1548176965
12/01/2022,0.314484,0.1553236476
12/02/2022,0.319407,0.1676247936
12/03/2022,0.319654,0.1725811946
12/04/2022,0.32275,0.173349025
12/05/2022,0.319517,0.1706540297
12/06/2022,0.318464,0.1720342528
12/07/2022,0.31032,0.16617636
12/08/2022,0.314843,0.1713690449
12/09/2022,0.311677,0.1712665115
12/10/2022,0.312606,0.1718707788
12/11/2022,0.307711,0.1774877048
12/12/2022,0.306949,0.1784601486
12/13/2022,0.312865,0.180648251
12/14/2022,0.308134,0.1799194426
12/15/2022,0.300201,0.1799104593
12/16/2022,0.26407,0.158389186
12/17/2022,0.2669,0.1609407
12/18/2022,0.266335,0.1583361575
12/19/2022,0.252944,0.1517158112
12/20/2022,0.259007,0.1557150084
12/21/2022,0.253154,0.1567782722
12/22/2022,0.256523,0.1544781506
12/23/2022,0.259429,0.1504428771
12/24/2022,0.259368,0.150303756
12/25/2022,0.25927,0.15608054
12/26/2022,0.265297,0.1582761902
12/27/2022,0.26037,0.156117852
12/28/2022,0.248378,0.151262202
12/29/2022,0.24414,0.149975202
12/30/2022,0.245557,0.1499125485
12/31/2022,0.246466,0.1472141418
01/01/2023,0.249771,0.1538339589
01/02/2023,0.253828,0.1516368472
01/03/2023,0.252796,0.1532449352
01/04/2023,0.267677,0.1640056979
01/05/2023,0.269102,0.1627528896
01/06/2023,0.278652,0.1768325592
01/07/2023,0.277105,0.185715771
01/08/2023,0.295218,0.2021652864
01/09/2023,0.317102,0.208494565
01/10/2023,0.322496,0.2028177344
01/11/2023,0.322749,0.203977368
01/12/2023,0.329758,0.2026033152
01/13/2023,0.345771,0.2034862335
01/14/2023,0.352552,0.2070537896
01/15/2023,0.350368,0.2010761952
01/16/2023,0.35004,0.191331864
01/17/2023,0.345761,0.1848784067
01/18/2023,0.326835,0.1709673885
01/19/2023,0.339099,0.1737204177
01/20/2023,0.364586,0.1853555224
01/21/2023,0.369026,0.1851034416
01/22/2023,0.376594,0.1872801962
01/23/2023,0.375504,0.1850108208
01/24/2023,0.359297,0.1822713681
01/25/2023,0.37341,0.180170325
01/26/2023,0.380059,0.1839865619
01/27/2023,0.388979,0.2013355304
01/28/2023,0.382351,0.1985931094
01/29/2023,0.396313,0.205290134
01/30/2023,0.372511,0.1853242225
01/31/2023,0.390926,0.1912019066
02/01/2023,0.397243,0.1908355372
02/02/2023,0.397563,0.1874111982
02/03/2023,0.404336,0.1875310368
02/04/2023,0.399726,0.1825148916
02/05/2023,0.392472,0.1876408632
02/06/2023,0.382421,0.189680816
02/07/2023,0.39921,0.210144144
02/08/2023,0.394033,0.2022571389
02/09/2023,0.362531,0.1840569887
02/10/2023,0.358635,0.191080728
02/11/2023,0.369202,0.1922804016
02/12/2023,0.364296,0.1892153424
02/13/2023,0.359627,0.1845605764
02/14/2023,0.386441,0.1898198192
02/15/2023,0.418115,0.203705628
02/16/2023,0.387902,0.1932915666
02/17/2023,0.403943,0.1997902078
02/18/2023,0.406331,0.197883197
02/19/2023,0.400107,0.199253286
02/20/2023,0.404003,0.2013146949
02/21/2023,0.392417,0.2003681202
02/22/2023,0.388921,0.1997887177
02/23/2023,0.383023,0.1978313795
02/24/2023,0.365819,0.1926402854
02/25/2023,0.362364,0.1918355016
02/26/2023,0.368973,0.1923087276
02/27/2023,0.364899,0.1917544245
02/28/2023,0.352454,0.1893735342
03/01/2023,0.360356,0.1949165604
03/02/2023,0.350206,0.1988819874
03/03/2023,0.342737,0.1941262368
03/04/2023,0.336499,0.1939580236
03/05/2023,0.337102,0.1930583154
03/06/2023,0.330821,0.1911152917
03/07/2023,0.330483,0.1881109236
03/08/2023,0.317577,0.1809553746
03/09/2023,0.309678,0.1755254904
03/10/2023,0.315342,0.1751094126
03/11/2023,0.307327,0.1735782896
03/12/2023,0.331539,0.1807882167
03/13/2023,0.344585,0.1874197815
03/14/2023,0.344308,0.1875101368
03/15/2023,0.324637,0.1804007809
03/16/2023,0.325383,0.1799042607
03/17/2023,0.350524,0.1830436328
03/18/2023,0.337711,0.1766903952
03/19/2023,0.34601,0.1764651
03/20/2023,0.332595,0.173947185
03/21/2023,0.371236,0.1883651464
03/22/2023,0.360613,0.1837683848
03/23/2023,0.372045,0.1881431565
03/24/2023,0.360083,0.1856227865
03/25/2023,0.351996,0.1839883092
03/26/2023,0.356245,0.1849267795
03/27/2023,0.34551,0.182256525
03/28/2023,0.368354,0.1886709188
03/29/2023,0.381589,0.1967472884
03/30/2023,0.376459,0.1916552769
03/31/2023,0.398923,0.1956318392
04/01/2023,0.385388,0.1847164684
04/02/2023,0.381753,0.1812181491
04/03/2023,0.387139,0.1803293462
04/04/2023,0.389683,0.1796828313
04/05/2023,0.392364,0.1762499088
04/06/2023,0.38321,0.17359413
04/07/2023,0.383643,0.1765908729
04/08/2023,0.385635,0.175001163
04/09/2023,0.389693,0.1721663674
04/10/2023,0.396989,0.1746354611
04/11/2023,0.401456,0.17864792
04/12/2023,0.406563,0.1774647495
04/13/2023,0.425759,0.179670298
04/14/2023,0.43833,0.180767292
04/15/2023,0.45328,0.184802256
04/16/2023,0.451755,0.184225689
