date,open,high,low,close,volume
2022-05-19,0.45852186112719345,0.45896189578212804,0.4548158667805649,0.45559473867754374,113733.68997099999
2022-05-20,0.45559473867754374,0.45599654554568786,0.4536772692113091,0.4554728047048472,93923.62732900001
2022-05-21,0.4554728047048472,0.4556235574268924,0.4532125699191331,0.4548292936156334,94968.52107000002
2022-05-22,0.4548292936156334,0.4549356432845344,0.4532557008911142,0.4537214502563385,48324.255877999996
2022-05-23,0.4537214502563385,0.46468958489624584,0.4530280634824413,0.46468958489624584,463373.0412989999
2022-05-24,0.46468958489624584,0.47423459689829406,0.4646895822860577,0.4697173451161934,315658.7540500001
2022-05-25,0.4697173451161934,0.47409997207244997,0.4604538335731009,0.4607335460839585,554997.2614749998
2022-05-26,0.4607335460839585,0.4610431811456368,0.44806602575507587,0.45892681022069215,942618.6474439995
2022-05-27,0.45892681022069215,0.4725392221378106,0.458908155803361,0.4703631062244571,535788.9309789999
2022-05-28,0.4703631062244571,0.47482284716501866,0.4697453972691981,0.47379612559889955,172953.18690499998
2022-05-29,0.47379612559889955,0.4790361672995282,0.4715707146106619,0.47707676843417185,281974.47938900004
2022-05-30,0.47707676843417185,0.4997104479151391,0.47081942330361426,0.48897401748083724,1067740.514924
2022-05-31,0.48897401748083724,0.4931328081766605,0.4855519836942696,0.48856358075274237,447497.4614450001
2022-06-01,0.48856358075274237,0.5054467749676365,0.4885253342047921,0.49931585337079676,1048581.815718
2022-06-02,0.49931585337079676,0.5054923022795986,0.495766403034809,0.5054632348069961,542375.914453
2022-06-03,0.5054632348069961,0.5084109092101422,0.5034867399015153,0.5054138555655264,472561.161546
2022-06-04,0.5054138555655264,0.505986375066706,0.5002534450649976,0.5022730307050854,285658.654897
2022-06-05,0.5022730307050854,0.5046306735091501,0.49863130399324,0.4987050681559784,261976.37232
2022-06-06,0.4987050681559784,0.49939746950485386,0.4875490928241809,0.4915477690998949,742420.3244189995
2022-06-07,0.4915477690998949,0.5054074145233002,0.491485458590572,0.5030708420848039,695373.2666450001
2022-06-08,0.5030708420848039,0.5032052835287801,0.48594421583697284,0.49333044764890077,688350.3954499998
2022-06-09,0.49333044764890077,0.49814828947681006,0.49333044764890077,0.4962741445315574,247404.2514079999
2022-06-10,0.4962741445315574,0.4973487291222163,0.49376105456011093,0.4944832434065979,203543.23602699998
2022-06-11,0.4944832434065979,0.49455606919346773,0.48931974864781347,0.4936972204054501,301849.48411499994
2022-06-12,0.4936972204054501,0.5063739094037152,0.49369704088909383,0.4952217911375786,667959.2719870001
2022-06-13,0.4952217911375786,0.5068584273404341,0.484764457993114,0.4847782386556708,927091.5224049999
2022-06-14,0.4847782386556708,0.500965370067062,0.483931739906735,0.5007127029547336,668687.7886399999
2022-06-15,0.5007127029547336,0.5040397561262335,0.4946503204201333,0.49468505945128816,497952.5257540001
2022-06-16,0.49468505945128816,0.49571180613883836,0.49267474687721313,0.49431022703228694,185294.95662099996
2022-06-17,0.49431022703228694,0.497169164145759,0.4900956066601478,0.49094154185007,364947.89599499997
2022-06-18,0.49094154185007,0.49094154185007,0.48252216646502766,0.48252216646502766,356754.9090219999
2022-06-19,0.48252216646502766,0.4830126815025581,0.47949758815137183,0.4808423959419243,212304.0515620001
2022-06-20,0.4808423959419243,0.48194235356790854,0.4788867659280309,0.48147654466042,165926.91137100002
2022-06-21,0.48147654466042,0.4852902406836457,0.48020007677451043,0.4850150671281123,227394.93118299998
2022-06-22,0.4850150671281123,0.49096876247840227,0.47503458015743044,0.47511184632485953,438638.93412300013
2022-06-23,0.47511184632485953,0.4751162901002925,0.4674050660840085,0.46823287751973774,166700.29892500004
2022-06-24,0.46823287751973774,0.4754864200545904,0.46747236663273634,0.47324004565398303,414895.7782800001
2022-06-25,0.47324004565398303,0.47528485192147063,0.4711818602531538,0.4736995181048758,273845.12843400013
2022-06-26,0.4736995181048758,0.4743850791788608,0.4691483493950998,0.4743850791788608,232396.99487999998
2022-06-27,0.4743850791788608,0.47637424910610365,0.47331610523151135,0.4742193590589501,185103.17097399992
2022-06-28,0.4742193590589501,0.47458342310439733,0.46924761193339004,0.47043904465648595,195819.6198190002
2022-06-29,0.47043904465648595,0.47043904465648595,0.46328471591349224,0.46341983694448513,207249.22680700006
2022-06-30,0.46341983694448513,0.4641803039459569,0.4610490101144141,0.4641803039459569,295712.06110299996
2022-07-01,0.4641803039459569,0.48386437740675736,0.4641803039459569,0.47962179347875017,894043.1851869998
2022-07-02,0.47962179347875017,0.4798989923613993,0.47482356701399175,0.47482356701399175,110820.614345
2022-07-03,0.47482356701399175,0.4774014704151236,0.47482356701399175,0.4765417965096987,89005.63953199997
2022-07-04,0.4765417965096987,0.4768601708887736,0.4730765386120646,0.47438881787379733,142404.26155000002
2022-07-05,0.47438881787379733,0.47499144616572364,0.47089181199843133,0.4732689219385878,200248.45467200002
2022-07-06,0.4732689219385878,0.47362338908817947,0.461750647294166,0.461750647294166,250189.07406100008
2022-07-07,0.461750647294166,0.46184387239627855,0.4584433014414458,0.4592200167508426,155802.488852
2022-07-08,0.4592200167508426,0.45926073789070465,0.45108794275066233,0.4511522605951357,295870.97970799997
2022-07-09,0.4511522605951357,0.45128531994083304,0.4413259835677403,0.44241552899046904,242294.32416899997
2022-07-10,0.44241552899046904,0.44474942045496285,0.44241552899046904,0.44449124821029,72999.81670600001
2022-07-11,0.44449124821029,0.4509087026904261,0.43999855259723597,0.4499236034245698,466373.30370299995
2022-07-12,0.4499236034245698,0.4499236034245698,0.44368898766630227,0.4439856218848362,309240.7456589999
2022-07-13,0.4439856218848362,0.44422852291835474,0.42197025778612196,0.4307977466437043,804068.2914450006
2022-07-14,0.4307977466437043,0.4355176299792037,0.43079774662923564,0.43296223068952483,265621.389935
2022-07-15,0.43296223068952483,0.4330010352154238,0.42902391279599233,0.42952986521047193,216571.32939
2022-07-16,0.42952986521047193,0.4304122555078173,0.42862709805342214,0.42862709805342214,88823.909307
2022-07-17,0.42862709805342214,0.43058114309547724,0.4260144191848683,0.43058114309547724,202495.445495
2022-07-18,0.43058114309547724,0.4340591842186899,0.42832953395004686,0.4319018122166412,276538.98167999985
2022-07-19,0.4319018122166412,0.4342859250624508,0.43024063657184075,0.4307153639822986,227387.8610109999
2022-07-20,0.4307153639822986,0.4460129681017754,0.4288349425144073,0.44462610719714546,675917.2791190002
2022-07-21,0.44462610719714546,0.4478922707676562,0.4446260935661914,0.44590856199957574,155825.89185299995
2022-07-22,0.44590856199957574,0.45168359850148215,0.44581948106417457,0.4482595991172309,256037.97881000012
2022-07-23,0.4482595991172309,0.4488063185353047,0.4468952098467169,0.44689655782443277,110461.36608400002
2022-07-24,0.44689655782443277,0.45301509221097536,0.44595977065127557,0.4519237720856463,480703.4279359999
2022-07-25,0.4519237720856463,0.4734432493055728,0.45123221682846043,0.4725366525201708,987846.5315010002
2022-07-26,0.4725366525201708,0.4947578550735664,0.4725366525201708,0.4821797002265695,857661.46638
2022-07-27,0.4821797002265695,0.4879641183390538,0.481215829699616,0.4856562288668125,381722.9646819999
2022-07-28,0.4856562288668125,0.48620728956208653,0.4834307840113127,0.4850361388016757,169167.03138299996
2022-07-29,0.4850361388016757,0.485497098846056,0.47757691451404327,0.4777015668539286,278828.0323309999
2022-07-30,0.4777015668539286,0.47831666991080285,0.45227350955920936,0.45421893723751866,537722.7354889999
2022-07-31,0.45421893723751866,0.4542860406104866,0.40510261881609505,0.4106456197053464,1340456.9368209997
2022-08-01,0.4106456197053464,0.41334210161959756,0.3990981415121643,0.40889924869119476,897627.3286540001
2022-08-02,0.40889924869119476,0.41758631814177916,0.4078282424748817,0.41265440147651916,396625.4996410001
2022-08-03,0.41265440147651916,0.4206658199008255,0.41156818782924565,0.4182930048387389,368034.15869700006
2022-08-04,0.4182930048387389,0.42106165110379185,0.41824059408388203,0.4210046799883442,181576.8262
2022-08-05,0.4210046799883442,0.4236860525952546,0.4190167234555872,0.422512089599221,277680.57015600003
2022-08-06,0.422512089599221,0.4226093325302201,0.42033771009989135,0.42079388544406465,78965.86735899995
2022-08-07,0.42079388544406465,0.42449939746054133,0.42079388544406465,0.4244365278498976,129515.22227900004
2022-08-08,0.4244365278498976,0.42477326426409434,0.4204304244806045,0.4204304244806045,164103.45468200007
2022-08-09,0.4204304244806045,0.42272869498327137,0.41841633398812245,0.42101044557495765,244953.02585400004
2022-08-10,0.42101044557495765,0.4239395944168202,0.42089876617115535,0.4220913390403312,284183.18330200005
2022-08-11,0.4220913390403312,0.4221551511840821,0.4181091119018506,0.4204141688262934,414293.750704
2022-08-12,0.4204141688262934,0.42208011909989357,0.41872809640595393,0.4195355058783327,253372.05380000005
2022-08-13,0.4195355058783327,0.4208002693995424,0.41186714169206573,0.4125894991287068,472648.07231799985
2022-08-14,0.4125894991287068,0.4162528783032667,0.4107751927388922,0.4109888953992206,397519.15421400004
2022-08-15,0.4109888953992206,0.4192562504015252,0.41098889421718315,0.41817635502020256,234942.26169399993
2022-08-16,0.41817635502020256,0.42067281772857773,0.41801078664239427,0.4198025190098417,189829.52247599993
2022-08-17,0.4198025190098417,0.42926313132064187,0.418474153072223,0.42926313132064187,261266.81532500003
2022-08-18,0.42926313132064187,0.43034357368951087,0.4278259957863774,0.43034357368951087,163124.062137
2022-08-19,0.43034357368951087,0.44797595194658724,0.4303237639717783,0.4475214369911302,452242.5010309999
2022-08-20,0.4475214369911302,0.45175394484502246,0.44518029757220295,0.45175394484502246,169171.83479899995
2022-08-21,0.45175394484502246,0.4542847809096886,0.45130071815146644,0.45409847457939095,190749.36122099997
2022-08-22,0.45409847457939095,0.4564374959328783,0.45409847457939095,0.4552145827722685,97126.90617500004
2022-08-23,0.4552145827722685,0.45906354182318726,0.4552145827722685,0.45799755158735644,184798.82805799996
2022-08-24,0.45799755158735644,0.4583843267435203,0.44936979876633487,0.4502348381478644,217929.92043999996
2022-08-25,0.4502348381478644,0.45316681911889284,0.4490695740507292,0.4493971764675415,162423.01463299998
2022-08-26,0.4493971764675415,0.4495502333139888,0.4413201328216243,0.4428295217055731,246057.930865
2022-08-27,0.4428295217055731,0.44310341111965645,0.4361087856397316,0.43624275689285374,272763.14303000004
2022-08-28,0.43624275689285374,0.4380386207056571,0.4360258283654755,0.43709352945953767,108548.13627400003
2022-08-29,0.43709352945953767,0.4435662276783385,0.43548750004659736,0.44293246210079457,342106.0692709999
2022-08-30,0.44293246210079457,0.44525784840014554,0.44293246210079457,0.44430951260713486,119856.445065
2022-08-31,0.44430951260713486,0.4450965595687957,0.44135861721885217,0.44480724499407903,214834.1002969999
2022-09-01,0.44480724499407903,0.461361551007067,0.44258012181848444,0.45474858727446904,588504.3161579999
2022-09-02,0.45474858727446904,0.4549668712713157,0.4481083091136299,0.448359311508155,225150.6852010001
2022-09-03,0.448359311508155,0.4487919164417422,0.4415614669960413,0.44407774417686086,334075.9239339999
2022-09-04,0.44407774417686086,0.4529686634612431,0.4436228090442783,0.45170015152182336,283805.444034
2022-09-05,0.45170015152182336,0.4560021586673558,0.45040164782719505,0.45599272343216407,187076.70145400002
2022-09-06,0.45599272343216407,0.46241527871098703,0.45405173985254704,0.45409864250516585,385760.57707000006
2022-09-07,0.45409864250516585,0.4547654685404092,0.4403436431390258,0.447176115386175,492887.0102299998
2022-09-08,0.447176115386175,0.44776347858845034,0.4402268896194365,0.44036512685479723,254844.24137100007
2022-09-09,0.44036512685479723,0.44317358516910726,0.44036512685479723,0.4414201667827665,118829.82252599999
2022-09-10,0.4414201667827665,0.44149196008966124,0.43588698580124957,0.4410587386343707,204716.50737299988
2022-09-11,0.4410587386343707,0.4438249810393693,0.43857803362182285,0.4438249810393693,193965.08929799992
2022-09-12,0.4438249810393693,0.44383277504136115,0.4341420137413009,0.43476129008461173,320472.279399
2022-09-13,0.43476129008461173,0.4497517824018046,0.43476129008461173,0.44548566782511817,481771.3903770001
2022-09-14,0.44548566782511817,0.45237990229220726,0.44258670597131045,0.45057242877867504,541928.7305279999
2022-09-15,0.45057242877867504,0.46110013552914875,0.4504944982123366,0.46110013552914875,244631.20696299998
2022-09-16,0.46110013552914875,0.4616033009640733,0.45521731711758323,0.45521731711758323,277110.20343000005
2022-09-17,0.45521731711758323,0.4552178576111476,0.4505743526885769,0.4505743526885769,122086.15439399998
2022-09-18,0.4505743526885769,0.4620474906408726,0.4505743526885769,0.460670620054603,477563.6734659999
2022-09-19,0.460670620054603,0.4697203707304047,0.460670620054603,0.46338202378383836,355332.972933
2022-09-20,0.46338202378383836,0.46547381055327613,0.46101370794104934,0.4619548297487036,144592.409916
2022-09-21,0.4619548297487036,0.46235376283413027,0.45534088813031504,0.4554357245062783,535514.4603469999
2022-09-22,0.4554357245062783,0.45746403932327573,0.43218660001518694,0.43383728279916983,649243.3337820005
